DateDaily,P3Daily,P4Daily,P5Daily,P6Daily,P2Daily,P1Daily
17/01/2019,5569,5384,3650,11500,550,120
18/01/2019,5841,5384,3650,11500,550,120
19/01/2019,5841,5384,3650,11500,550,120
20/01/2019,5569,5189,3650,11500,550,120
21/01/2019,5841,5389,3240,11404.74576,550,120
22/01/2019,5569,5012,3322,11265.76271,550,120
23/01/2019,5329,5184,3650,11404.74576,550,120
24/01/2019,5569,5384,3650,11500,550,120
25/01/2019,5841,5384,3650,11500,550,120
26/01/2019,5841,5384,3650,11500,550,120
27/01/2019,5569,5384,3650,11500,550,120
28/01/2019,5841,5384,3450,11500,550,120
29/01/2019,5569,5384,3650,11500,550,120
30/01/2019,5329,5384,3650,11500,550,120
31/01/2019,5569,5384,3650,11500,550,120
01/02/2019,6106,5283,3617,11500,550,120
02/02/2019,6106,5283,3617,11500,550,120
03/02/2019,5634,5283,3617,11496.27119,550,120
04/02/2019,5906,4003,3417,11500,550,120
05/02/2019,5634,4943,3417,11500,550,120
06/02/2019,5266,5283,3576,10869.15254,550,120
07/02/2019,5834,5283,3617,11500,550,120
08/02/2019,6106,5283,3617,11500,550,120
09/02/2019,6106,5283,3617,11500,550,120
10/02/2019,5834,5283,3617,11117,550,120
11/02/2019,6106,5283,3317,11389,550,120
12/02/2019,6034,5043,3217,11077,550,120
13/02/2019,4786,5283,2797,10860,550,120
14/02/2019,6106,4911,3617,11077,550,120
15/02/2019,6106,5283,3617,11500,550,120
16/02/2019,6106,5283,3617,11500,550,120
17/02/2019,5834,5088,2497,11500,550,120
18/02/2019,6106,5288,2497,11500,550,120
19/02/2019,5694,5283,3617,11500,550,120
20/02/2019,5594,5083,3617,11500,550,120
21/02/2019,5834,5283,3617,11500,550,120
22/02/2019,6106,5283,3617,11500,550,120
23/02/2019,6106,5283,3617,11500,550,125
24/02/2019,6106,4716,3617,11500,600,125
25/02/2019,6106,5288,3207,11500,600,125
26/02/2019,5966,5283,3617,11500,600,125
27/02/2019,5594,5083,3617,11500,600,125
28/02/2019,5834,5283,3617,11500,600,120
01/03/2019,6000,5350,3500,11396.33898,600,120
02/03/2019,6000,5350,3500,11396.33898,600,120
03/03/2019,5536,5350,3500,11187.11864,600,120
04/03/2019,5808,4853,3100,11046.10169,600,120
05/03/2019,5068,4985,3500,11063.72881,600,120
06/03/2019,4680,5150,3500,10111.86441,600,120
07/03/2019,5728,5350,3500,11069.83051,350,0
08/03/2019,6000,5350,3500,11396.33898,400,60
09/03/2019,6000,5350,3500,11396.33898,400,100
10/03/2019,5592,5350,3500,11414.91525,500,100
11/03/2019,5592,4070,3500,9800.677966,550,120
12/03/2019,5520,5350,3500,10800,550,120
13/03/2019,5360,4978,3500,10366.77966,550,120
14/03/2019,5592,5350,3500,11442.71186,550,120
15/03/2019,6000,5350,3500,11396.33898,550,120
16/03/2019,6000,5350,3500,11396.33898,550,120
17/03/2019,5728,5155,3500,11046.10169,550,120
18/03/2019,6000,5250,3300,11400.67797,550,120
19/03/2019,5728,5050,3500,11132.20339,550,120
20/03/2019,5440,4850,3100,11046.10169,550,120
21/03/2019,5728,5350,3500,10909.83051,600,125
22/03/2019,6000,5350,3500,11396.33898,600,125
23/03/2019,6000,5350,3500,11396.33898,600,125
24/03/2019,5880,5155,3500,11046.10169,500,110
25/03/2019,4880,5355,3300,11500,550,110
26/03/2019,5880,4978,3500,11046.10169,550,110
27/03/2019,6000,5150,3500,11046.10169,530,110
28/03/2019,5880,5350,3500,11288.81356,550,80
29/03/2019,5880,5350,3500,11396.33898,550,110
30/03/2019,5880,5350,3500,11396.33898,550,110
31/03/2019,6000,5350,3500,11420.33898,550,110
01/04/2019,5840,4804,3200,10827.52542,550,110
02/04/2019,5468,4984,2100,10969.22034,550,110
03/04/2019,5228,4984,2100,10592.54237,550,110
04/04/2019,5568,5284,3500,10968.81356,550,110
05/04/2019,5840,5284,3500,11500,550,110
06/04/2019,5840,5284,3500,11500,550,110
07/04/2019,5568,5284,3500,10842,500,110
08/04/2019,5840,5284,4500,11114,500,110
09/04/2019,5840,5284,4500,11274.30508,500,110
10/04/2019,5200,5084,4500,10274,550,110
11/04/2019,5840,5284,4500,11114,550,110
12/04/2019,5840,5284,4500,11500,550,110
13/04/2019,5840,5284,4500,11500,550,110
14/04/2019,5568,4964,4500,10833.55932,550,110
15/04/2019,5840,4324,4090,10550.23729,550,110
16/04/2019,5568,5284,4500,10842,550,110
17/04/2019,5328,4912,4500,10351.86441,550,110
18/04/2019,5568,5284,4500,10918.98305,550,110
19/04/2019,5840,5284,4500,11214.91525,550,110
20/04/2019,5840,5284,4500,11214.91525,550,110
21/04/2019,5840,5284,4500,11236.27119,550,110
22/04/2019,5840,5284,4500,11238.71186,550,110
23/04/2019,5840,5284,4500,11238.71186,550,110
24/04/2019,5840,5284,4500,11114,550,110
25/04/2019,5840,5284,4500,11114,550,110
26/04/2019,5840,5284,4500,11242.37288,550,110
27/04/2019,5840,5284,4500,11242.37288,550,110
28/04/2019,5840,5164,4500,11147.18644,550,110
29/04/2019,5840,4924,4500,10891.9322,550,110
30/04/2019,5768,5284,4500,11187.86441,550,110
